Reactant analysis summary
========================================================================
Source:    /root/workspace/nova-4090/data/rxn4.csv
Molecules: 2207
Detail:    /root/workspace/nova-4090/data/rxn4_reactant_analysis.csv

------------------------------------------------------------------------
Position 1  (793 unique reactants)
------------------------------------------------------------------------
   reactant_id   count       avg_score       max_score
        202849     107    0.1031211361    0.1505045493
        210086      76    0.1028970827    0.1300126107
        201252      55    0.0885742613    0.1276708427
        188744      43    0.0895970338    0.1458872038
        218167      36    0.1013749454    0.1312539940
        191633      36    0.0922841029    0.1279146400
        201265      26    0.1024792182    0.1357727572
        212256      26    0.1133752339    0.1344667511
        217356      24    0.0937706813    0.1201890757
        205245      23    0.1046251251    0.1209565600
        200137      23    0.0988764700    0.1187622973
        199107      22    0.1010924343    0.1371598045
        212428      22    0.0941027820    0.1271023725
        188033      19    0.1108585787    0.1385478567
        206432      18    0.1056666778    0.1354472751
        200102      18    0.1021553307    0.1160559732
        207987      17    0.1152065304    0.1400841149
        210095      17    0.1045484246    0.1391890153
        220436      16    0.0977028506    0.1190862448
        191396      16    0.0984891027    0.1172037891
        178282      16    0.0342720044    0.0969496914
        210271      15    0.1074990771    0.1436432626
        210459      15    0.1044993823    0.1371833289
        218182      14    0.1070562503    0.1192805249
        217551      13    0.0935511400    0.1335518807
        188608      13    0.1125581137    0.1330114788
        188189      12    0.0987120446    0.1252559960
        210269      12    0.0999266780    0.1248230727
        220564      12    0.0720249257    0.1103613824
        201458      11    0.1070236865    0.1414968173
        216026      11    0.1140618097    0.1391146580
        218105      11    0.1087337925    0.1263094034
        185770      11    0.1076715376    0.1232075791
        217918      11    0.1029174649    0.1167103450
        195165      11    0.0876014358    0.1088888588
        217257      10    0.1159927824    0.1281695664
        211527      10    0.1133497966    0.1226637991
        189208      10    0.0566678870    0.0933930849
        207974       9    0.0987432978    0.1264414887
        215391       9    0.1108588402    0.1231616528
        197422       9    0.1122227503    0.1215867952
        217539       9    0.0707264428    0.1124277049
        191767       8    0.1009980809    0.1312539940
        210005       8    0.1119859865    0.1263140383
        176558       8    0.0897906046    0.1214833260
        188595       8    0.1024393787    0.1195299141
        217439       8    0.1143673301    0.1192785411
        217221       8    0.1041182776    0.1174803913
        188183       8    0.0900579527    0.1097216266
        198426       7    0.1167445387    0.1400840514
        201250       7    0.1113572849    0.1300022548
        217245       7    0.1067085679    0.1293982999
        205365       7    0.1148308926    0.1256575271
        210105       7    0.1126372672    0.1244437354
        178768       7    0.1003598223    0.1232290242
        212257       7    0.1120990807    0.1189266080
        221021       7    0.1032676292    0.1170782495
        217298       7    0.1062851428    0.1163059941
        195777       7    0.0582310597    0.1137277370
        204345       7    0.0547938396    0.1028592730
        212255       6    0.1118286534    0.1436432626
        207305       6    0.1172515723    0.1364557648
        210009       6    0.1225135103    0.1293364331
        200146       6    0.1087123213    0.1278564171
        195608       6    0.1004369368    0.1252992105
        201255       6    0.1053820871    0.1232075791
        200115       6    0.1141603568    0.1231497775
        199127       6    0.1174668125    0.1229758726
        198416       6    0.1131593852    0.1207246449
        200129       6    0.0985892532    0.1121437237
        220837       6    0.0860687048    0.1060620025
        218243       6    0.0457397872    0.0695828795
        208152       5    0.1082341171    0.1431976673
        198797       5    0.1108700832    0.1414968173
        199066       5    0.1155194910    0.1330114788
        196522       5    0.1220730456    0.1317470437
        217504       5    0.1011170172    0.1279710324
        216384       5    0.0974156274    0.1271023725
        200100       5    0.1108724943    0.1232075791
        199108       5    0.1140485646    0.1225697344
        185767       5    0.0967701676    0.1201709922
        199457       5    0.0895184042    0.1200823954
        202879       5    0.1023877436    0.1189446320
        195167       5    0.0984885051    0.1174926853
        218003       5    0.0904811202    0.1170641617
        220438       5    0.1085576415    0.1167859754
        221022       5    0.0970488163    0.1164320655
        217236       5    0.1037844942    0.1156505372
        217344       5    0.1097097667    0.1155787640
        201256       5    0.0984034024    0.1146767541
        211645       5    0.0944671028    0.1131838721
        217302       5    0.0927239529    0.1109051794
        217357       5    0.0641725989    0.1095810558
        192491       5    0.0642559211    0.0869962115
        196433       4    0.1200400462    0.1354472751
        192168       4    0.1192466466    0.1331253711
        217275       4    0.1211204711    0.1292739485
        195704       4    0.0982186284    0.1272509527
        189322       4    0.0845721900    0.1262459826
        199168       4    0.0923207563    0.1249970762
        205393       4    0.1050765142    0.1244437354
        208143       4    0.0913753347    0.1238328732
        194365       4    0.1155185199    0.1208541155
        191914       4    0.1012583609    0.1186246980
        210118       4    0.0989917044    0.1176053377
        221892       4    0.0936955825    0.1169883555
        178778       4    0.0866290267    0.1140851324
        211166       4    0.1076470638    0.1135252006
        208319       4    0.1035609192    0.1129374987
        186121       4    0.1025124573    0.1083617832
        200134       4    0.1016945032    0.1073600774
        191774       4    0.0947690258    0.1072803253
        210300       4    0.0843134945    0.1068937398
        199024       4    0.1007722456    0.1042635810
        220437       4    0.0869675913    0.0945505823
        212036       4    0.0831129597    0.0898977274
        188600       4    0.0760547835    0.0895065672
