# Reactant analysis
# source: /root/workspace/nova-4090/data/rxn5.csv
# molecules_analyzed: 3454
# reactant_position: 1 = first reactant after rxn:N, 2 = second, 3 = third (if present)
# sorted within each position by count (desc), then max_score (desc)
reactant_position,reactant_id,count,avg_score,max_score
1,194934,291,0.1079178341,0.1245413637
1,182891,123,0.1053976890,0.1285128554
1,180876,106,0.1088295324,0.1286209111
1,194936,99,0.1088689266,0.1308679695
1,181957,89,0.1083802047,0.1277299949
1,198636,77,0.1105921085,0.1290191633
1,178712,60,0.1082155791,0.1227753913
1,198670,48,0.1070915346,0.1283764634
1,198685,46,0.1071923161,0.1227034075
1,180880,45,0.1084057480,0.1275731421
1,197566,45,0.1084337521,0.1236938983
1,195464,44,0.1072003564,0.1297069490
1,195525,41,0.1104234945,0.1312317872
1,196765,41,0.1075227204,0.1151993147
1,183061,38,0.1078008338,0.1214381903
1,195924,32,0.1070387919,0.1246278309
1,198750,32,0.1070613566,0.1190213671
1,178616,32,0.0533392734,0.0647803415
1,199076,31,0.1041474156,0.1261726809
1,196788,30,0.1075051007,0.1132701614
1,180882,29,0.1047713187,0.1255153285
1,198666,29,0.1116079967,0.1232813128
1,198248,28,0.0888915607,0.1186630925
1,198435,26,0.1104943538,0.1268350276
1,197453,26,0.1087003830,0.1254139123
1,194946,26,0.1020739475,0.1177042860
1,180874,26,0.1102313919,0.1170045963
1,195790,24,0.1064058000,0.1217693157
1,199082,23,0.1068446768,0.1155462964
1,199055,22,0.1085644518,0.1201961310
1,195795,21,0.1055417615,0.1195831024
1,182635,21,0.1092244145,0.1185435262
1,198443,21,0.0961326658,0.0997989655
1,178711,19,0.1085892601,0.1201140511
1,188957,19,0.1082142127,0.1200914502
1,197413,19,0.0601663187,0.1123198762
1,199060,19,0.0683630758,0.1122744047
1,198418,18,0.1072000846,0.1160537395
1,195923,17,0.1083083843,0.1317177484
1,188721,17,0.1097424263,0.1216750954
1,196333,17,0.1067091998,0.1143773342
1,181409,16,0.1086944263,0.1329716158
1,194950,16,0.1111692973,0.1255064160
1,191767,16,0.1106150998,0.1171430200
1,182653,16,0.1061952173,0.1138119675
1,181281,15,0.1104998448,0.1256788301
1,199091,15,0.0719670256,0.1019312246
1,197412,14,0.1115117895,0.1310671773
1,192084,14,0.1012792121,0.1235863383
1,196677,14,0.1107995772,0.1205533666
1,198237,14,0.1043637358,0.1121647429
1,198245,14,0.0897141297,0.0999145920
1,191915,13,0.0972327130,0.1264552784
1,199058,13,0.1083468677,0.1162174669
1,197761,13,0.1064582026,0.1127597868
1,181411,13,0.1055995125,0.1122307654
1,195918,12,0.1271349547,0.1399697088
1,198230,12,0.1102135346,0.1246859183
1,195608,12,0.1103338227,0.1220311426
1,198621,12,0.1085200226,0.1180122753
1,183190,12,0.1080345369,0.1161053274
1,195460,12,0.1066610401,0.1139346021
1,194058,12,0.0979080111,0.1093725012
1,198444,12,0.0787652140,0.0996807649
1,198913,11,0.1061226460,0.1218207876
1,180881,11,0.1081093039,0.1181666042
1,180879,11,0.1103506056,0.1174473854
1,182658,10,0.1240503979,0.1283018192
1,198543,10,0.1131965884,0.1264290760
1,182581,10,0.1100527091,0.1206791614
1,199272,10,0.1101803838,0.1181848248
1,183189,10,0.1066745895,0.1123523116
1,199128,10,0.1073461549,0.1122397607
1,195451,10,0.0848366410,0.0985026832
1,194941,9,0.1122350690,0.1274375816
1,180677,9,0.1079063052,0.1134495060
1,182843,9,0.0777844255,0.1133670935
1,179197,9,0.1065611626,0.1128929710
1,179537,9,0.1055195135,0.1113642084
1,178713,9,0.0939669235,0.1108023932
1,197414,8,0.1120524965,0.1278854362
1,188409,8,0.1095921415,0.1253019174
1,195077,8,0.1134749406,0.1240647808
1,181406,8,0.1117119639,0.1215522632
1,182638,8,0.1018926011,0.1179983382
1,195465,8,0.1081768205,0.1162014859
1,182898,8,0.1068880187,0.1152621657
1,182817,8,0.1084813598,0.1148827268
1,194947,8,0.1072747535,0.1143486077
1,199092,8,0.1098924292,0.1143203676
1,180232,8,0.1084227328,0.1128157191
1,182892,8,0.1061735997,0.1124860851
1,196340,8,0.1040169962,0.1114198109
1,179756,8,0.1051007197,0.1101167130
1,182710,8,0.1073374213,0.1095356510
1,198495,8,0.0761511465,0.1076712876
1,198680,7,0.1258548033,0.1332913990
1,195609,7,0.1025656923,0.1220311426
1,196412,7,0.1101917494,0.1189450920
1,198474,7,0.0992782013,0.1164679436
1,198920,7,0.1072658910,0.1159581994
1,198122,7,0.1038561918,0.1153197835
1,179189,7,0.1007544589,0.1146429531
1,181737,7,0.1081186374,0.1137678109
1,198672,7,0.1044008803,0.1133652192
1,196764,7,0.1075355770,0.1133612011
1,179396,7,0.1068331130,0.1132085601
1,199275,7,0.1011953853,0.1129776835
1,182846,7,0.1053185951,0.1117502252
1,194935,7,0.1063741334,0.1115667963
1,194944,7,0.1002915720,0.1095365217
1,192169,7,0.1063167043,0.1095278621
1,198281,7,0.0530426489,0.0646827146
1,198448,6,0.1278165321,0.1334253407
1,198409,6,0.1273472470,0.1324572945
1,181958,6,0.1121264634,0.1274740873
1,176997,6,0.1123603931,0.1240429772
1,195528,6,0.1098406620,0.1228307605
1,181280,6,0.1116139245,0.1221053219
1,191339,6,0.1089349974,0.1219433546
1,182824,6,0.1081724832,0.1174782515
1,182580,6,0.1082147095,0.1165190270
1,182842,6,0.1024542382,0.1163843061
1,192965,6,0.1079296468,0.1158321146
1,181852,6,0.1005210919,0.1150919437
1,195524,6,0.1100308168,0.1150441903
1,198663,6,0.1069153143,0.1149359139
1,198645,6,0.1094086705,0.1148814095
1,198120,6,0.1077832595,0.1139039626
1,182636,6,0.1023402270,0.1132797229
1,188956,6,0.1062962204,0.1130305673
1,198748,6,0.1070250025,0.1126727307
1,195466,6,0.1087129776,0.1125725640
1,198400,6,0.1085714319,0.1115330883
1,182641,6,0.0898952726,0.1112788717
1,197410,6,0.1075938486,0.1110612880
1,181276,6,0.1060896361,0.1108328657
1,182499,6,0.1071709208,0.1106658144
1,176994,6,0.1066298965,0.1101476146
1,196417,6,0.1059643614,0.1101345086
1,197844,6,0.1067800643,0.1095113908
1,180142,6,0.0997612470,0.1093663643
1,198280,6,0.0657314477,0.1069517875
1,195450,6,0.0965640297,0.1005326856
1,198428,5,0.1243379228,0.1341752570
1,197126,5,0.1245909099,0.1331936696
1,199074,5,0.1103701075,0.1271653452
1,188408,5,0.1129967448,0.1236246320
1,179535,5,0.1120403174,0.1218151803
1,181284,5,0.1124271198,0.1167654395
1,179175,5,0.1045726189,0.1165543750
1,197491,5,0.1121539095,0.1162766851
1,179551,5,0.1060312294,0.1158067440
1,189502,5,0.1096160008,0.1156085048
1,179173,5,0.1074927533,0.1136118030
1,195960,5,0.1082219171,0.1132271330
1,198516,5,0.1076738807,0.1124245203
1,198634,5,0.1055249482,0.1120058651
1,191336,5,0.1078910992,0.1116691186
1,179554,5,0.1060256975,0.1109693136
1,196332,5,0.1075496309,0.1105884194
1,195299,5,0.1085674676,0.1105327904
1,195526,5,0.1059726121,0.1104851406
1,191678,5,0.1073103558,0.1100090084
1,197169,5,0.1032271844,0.1095600859
1,181576,5,0.1071609313,0.1094623123
1,198630,5,0.1053799249,0.1087815120
1,196404,4,0.1144377816,0.1337736318
1,191333,4,0.1099651477,0.1206754850
1,179536,4,0.1074500653,0.1195933798
1,176754,4,0.1084056491,0.1176647811
1,182501,4,0.0925133315,0.1172557282
1,181582,4,0.1098047858,0.1170722164
1,198197,4,0.1094564389,0.1168701450
1,181408,4,0.1109008063,0.1168131943
1,180877,4,0.1101521101,0.1156819828
1,196337,4,0.1099410968,0.1153269718
1,198415,4,0.0996391584,0.1141955985
1,182441,4,0.1095867671,0.1141921307
1,181278,4,0.1072595888,0.1132733115
1,195088,4,0.1084447887,0.1130848200
1,195796,4,0.1084980296,0.1125528794
1,179547,4,0.1058243291,0.1119596152
1,181959,4,0.1079622551,0.1118491332
1,188597,4,0.1093181464,0.1116273959
1,198638,4,0.1048175015,0.1112132514
1,182341,4,0.1061386970,0.1106673649
1,198542,4,0.0938685962,0.1105417930
1,198657,4,0.1046596559,0.1091262023
1,198749,4,0.1076447011,0.1088768085
1,195062,4,0.0961859843,0.1087172604
1,176756,4,0.1048202542,0.1086744626
1,196331,4,0.1043782535,0.1085908347
1,196083,4,0.1045866183,0.1072877439
1,198655,4,0.0651219681,0.1014706669
1,188725,3,0.1136162628,0.1229168797
1,195468,3,0.1153838586,0.1218892025
1,180883,3,0.1158721989,0.1205388692
1,179709,3,0.1099263397,0.1175596575
1,179982,3,0.1085229292,0.1167999976
1,195467,3,0.1082705024,0.1155751228
1,176996,3,0.1089366574,0.1148137073
1,199056,3,0.1106805825,0.1143128960
1,177274,3,0.1068523070,0.1143106116
1,195798,3,0.1068236167,0.1136154624
1,195961,3,0.1084655916,0.1125876745
1,190719,3,0.1088023059,0.1124755277
1,197565,3,0.0901151448,0.1124338388
1,179538,3,0.1102547771,0.1123466849
1,177273,3,0.1071481903,0.1122229634
1,179414,3,0.1094150826,0.1114463736
1,196573,3,0.1080473996,0.1111176908
1,191681,3,0.1098022785,0.1106816354
1,181739,3,0.1065386027,0.1105884026
1,177286,3,0.1086295346,0.1104206528
1,198451,3,0.1044016664,0.1104110347
1,198433,3,0.1037360753,0.1101871817
