morgan_tanimoto,mol_id,smiles,role_mask,generic_murcko
0.325581,100226,Cc1cc2c(=O)[nH]nc(N)n2n1,4,CC1CCCC2CCCC12
0.255814,78141,Nc1n[nH]c2cc[nH]c(=O)c12,4,CC1CCCC2CCCC12
0.25,93888,Nc1nc2[nH]ccc(=O)n2n1,4,CC1CCCC2CCCC12
0.25,96144,Cc1nnc2sc(N)nn2c1=O,4,CC1CCCC2CCCC12
0.23913,66134,Cc1cnn2nc(N)[nH]c(=O)c12,4,CC1CCCC2CCCC12
0.23913,71060,Cn1ccc2c(=O)[nH]c(N)nc21,4,CC1CCCC2CCCC12
0.23913,78498,Cc1[nH]n2cnnc2c(=O)c1N,4,CC1CCCC2CCCC12
0.227273,79395,Nc1nc(=O)n2cc[nH]c2n1,4,CC1CCCC2CCCC12
0.222222,90958,Cc1cc2[nH]c(N)nc(=O)c2[nH]1,4,CC1CCCC2CCCC12
0.217391,68429,Cc1c[nH]c2nc(N)[nH]c(=O)c12,4,CC1CCCC2CCCC12
