morgan_tanimoto,mol_id,smiles,role_mask,murcko
0.4,97351,Cc1cn[nH]c(=O)c1N,4,O=c1cccn[nH]1
0.4,101100,Cc1c(N)cn[nH]c1=O,4,O=c1cccn[nH]1
0.363636,88851,CC(C)c1cn[nH]c(=O)c1N,4,O=c1cccn[nH]1
0.363636,107633,COc1n[nH]c(=O)cc1N,4,O=c1cccn[nH]1
0.363636,139001,CC(C)(C)c1cn[nH]c(=O)c1N,4,O=c1cccn[nH]1
0.354839,85732,Cn1ncc(N)cc1=O,4,O=c1cccn[nH]1
0.344828,78534,Nc1ccc(=O)[nH]n1,4,O=c1cccn[nH]1
0.333333,128772,Nc1ccn[nH]c1=O,4,O=c1cccn[nH]1
0.323529,99272,CCn1ncc(N)cc1=O,4,O=c1cccn[nH]1
0.3125,87535,Cc1cc(N)n[nH]c1=O,4,O=c1cccn[nH]1
0.3125,136044,Cc1cc(N)c(=O)[nH]n1,4,O=c1cccn[nH]1
0.285714,81505,CC(C)c1cc(N)c(=O)[nH]n1,4,O=c1cccn[nH]1
0.28125,121041,Cc1n[nH]c(=O)c(C)c1N,4,O=c1cccn[nH]1
0.272727,133906,NCc1ccc(=O)[nH]n1,4,O=c1cccn[nH]1
0.264706,112039,NCc1ccn[nH]c1=O,4,O=c1cccn[nH]1
0.258065,123076,Cc1n[nH]c(=O)c(N)c1C,4,O=c1cccn[nH]1
0.228571,101015,Cc1cc(=O)n(C)nc1N,4,O=c1cccn[nH]1
0.216216,109605,CC(C)c1n[nH]c(=O)c(N)c1C(C)C,4,O=c1cccn[nH]1
0.216216,136496,Cn1ncc(CN)cc1=O,4,O=c1cccn[nH]1
0.210526,99291,COc1c(N)cnn(C)c1=O,4,O=c1cccn[nH]1
