name,smiles,inchikey,score,source,round
rxn:4:206432:229322,O=S(=O)(c1cncc(-c2sccc2Cl)c1Cl)N1CCCC1,YUOMDUZQQZICSG-UHFFFAOYSA-N,0.15837063108171737,top20_acquisition,4
rxn:4:206432:229318,O=S(=O)(c1cncc(-c2ccsc2Cl)c1Cl)N1CCCC1,JHVKOJPLVWBRBC-UHFFFAOYSA-N,0.1475667669659569,top20_acquisition,3
rxn:4:206404:229322,O=S(=O)(c1cncc(-c2sccc2Cl)c1)N1CCCC1,UOUAQAXEKDGWIQ-UHFFFAOYSA-N,0.14197688102722167,top20_acquisition,5
rxn:4:201458:229322,CCN(CC)S(=O)(=O)c1cncc(-c2sccc2Cl)c1Cl,XCTNIDMGZUWNHS-UHFFFAOYSA-N,0.1398015476408459,top20_acquisition,5
rxn:4:206432:229325,O=S(=O)(c1cncc(-c2cscc2Cl)c1Cl)N1CCCC1,GHYRZYPATYVDDC-UHFFFAOYSA-N,0.135960062344869,top20_acquisition,2
rxn:4:206432:229010,CC(C)c1csc(-c2cncc(S(=O)(=O)N3CCCC3)c2Cl)c1,TXEUNGLUWPJYBI-UHFFFAOYSA-N,0.13176874492479407,top20_acquisition,10
rxn:4:201458:229318,CCN(CC)S(=O)(=O)c1cncc(-c2ccsc2Cl)c1Cl,YUOQHACEQSGGAC-UHFFFAOYSA-N,0.12832830065772646,top20_acquisition,4
rxn:4:206432:229319,O=S(=O)(c1cncc(-c2ccc(Cl)s2)c1Cl)N1CCCC1,HUDDWQWGEZSIMT-UHFFFAOYSA-N,0.12741062187013172,top20_acquisition,12
rxn:4:206432:228351,O=S(=O)(c1cncc(-c2cc(-n3ccnc3)cs2)c1Cl)N1CCCC1,ZVPCHGHHWRRAOF-UHFFFAOYSA-N,0.1207464075088501,top20_acquisition,10
rxn:4:206404:229324,O=S(=O)(c1cncc(-c2cc(Cl)cs2)c1)N1CCCC1,KTPQEAYJISDBBO-UHFFFAOYSA-N,0.11960785388946533,top20_acquisition,11
rxn:4:206432:229324,O=S(=O)(c1cncc(-c2cc(Cl)cs2)c1Cl)N1CCCC1,JMFKGQWRBJRZLY-UHFFFAOYSA-N,0.11862718775158837,top20_acquisition,10
rxn:4:206432:229317,O=S(=O)(c1cncc(-c2ccc(F)s2)c1Cl)N1CCCC1,JVIBFJRIVQTKSP-UHFFFAOYSA-N,0.11683620157695952,top20_acquisition,13
rxn:4:201248:228698,CCC(=O)c1ccc(-c2c(C#N)ccc(C(=O)OC)c2[N+](=O)[O-])s1,WVCYBUSHOMZIBW-UHFFFAOYSA-N,0.11655611048142116,top20_acquisition,4
rxn:4:195525:228213,CCc1cc(Cl)ncc1-c1cc(-n2cccc2)cs1,CWYMRXRMHNWPTB-UHFFFAOYSA-N,0.1152762676540174,top20_acquisition,13
rxn:4:206432:229079,O=S(=O)(c1cncc(-c2csc(C3CC3)n2)c1Cl)N1CCCC1,CAMFTRSVGITFCG-UHFFFAOYSA-N,0.11417758983114491,top20_acquisition,14
rxn:4:201458:228351,CCN(CC)S(=O)(=O)c1cncc(-c2cc(-n3ccnc3)cs2)c1Cl,XCAHTDDGVPASIJ-UHFFFAOYSA-N,0.11356598138809204,top20_acquisition,11
rxn:4:199454:227175,CCOC(=O)Cc1ccc(-c2ccc3c(Cl)nccc3c2)c([N+](=O)[O-])c1C#N,SNSLAGNNPLQJIE-UHFFFAOYSA-N,0.112734854221344,top20_acquisition,8
rxn:4:188655:225349,CCCOc1c(F)c(F)c(-c2cc(C)cc([N+](=O)[O-])c2OC(F)F)c(F)c1F,YBDOITVVDZYUCN-UHFFFAOYSA-N,0.11270696350506373,legacy,0
rxn:4:217666:225011,CC(C)n1cc(-c2cccc(C3(C#N)CCCC3)c2F)c2c(Cl)ncnc21,YNPRJMWBXUBWNL-UHFFFAOYSA-N,0.11265017368175366,legacy,0
rxn:4:200137:229076,COC(=O)Cc1ccc(-c2sc(C#N)cc2C)c(C#N)c1[N+](=O)[O-],MMQVSTHNPIMXJY-UHFFFAOYSA-N,0.1123474935690562,top20_acquisition,21
